day,closing,alpha,f,yield
2019/2/28,2940.95,1.064147,-0.78481,-0.0019
2019/3/1,2994.01,0.23137,0.380198,0.007766
2019/3/4,3027.58,0.666425,-1.154,0.004842
2019/3/5,3054.25,2.80E-11,-0.3205,0.003809
2019/3/6,3102.1,0.562341,0.663929,0.006751
2019/3/7,3106.42,0.283365,-0.18842,0.000604
2019/3/8,2969.86,0.089552,-0.009,-0.01952
2019/3/11,3026.99,1.93E-11,0.675909,0.008275
2019/3/12,3060.31,0.478407,-0.02094,0.004754
2019/3/13,3026.95,0.717431,-1.13935,-0.00476
2019/3/14,2990.69,0.553041,-0.4487,-0.00523
2019/3/15,3021.75,0.197534,-0.44103,0.004487
2019/3/18,3096.42,1.140045,-0.25708,0.010601
2019/3/19,3090.98,3.47E-18,0.013002,-0.00076
2019/3/20,3090.64,0.031474,-0.00993,-0.000048
2019/3/21,3101.46,1.93E-16,-0.20318,0.001518
2019/3/22,3104.15,1.003402,-1.26271,0.000377
2019/3/25,3043.03,0.394768,-0.01177,-0.00864
2019/3/26,2997.1,1.03E-10,-0.5748,-0.00661
2019/3/27,3022.72,0.923599,-0.58926,0.003697
2019/3/28,2994.94,0.457018,0.634871,-0.00401
2019/3/29,3090.76,0.331009,-0.38371,0.013677
2019/4/1,3170.36,6.68E-11,0.918266,0.011043
2019/4/2,3176.82,0.325484,0.242662,0.000884
2019/4/3,3216.3,0.500825,-0.95679,0.005364
2019/4/4,3246.57,1.074732,-0.38054,0.004068
2019/4/8,3244.81,1.076823,-0.20294,-0.00024
2019/4/9,3239.66,0.739581,-1.17834,-0.00069
2019/4/10,3241.93,8.06E-10,-0.03456,0.000304
2019/4/11,3189.96,0.410274,-0.72398,-0.00702
2019/4/12,3188.63,0.617698,0.386411,-0.00018
2019/4/15,3177.79,0.365355,0.343894,-0.00148
2019/4/16,3253.6,0.603963,0.265177,0.010239
2019/4/17,3263.12,0.402495,-0.18196,0.001269
2019/4/18,3250.2,5.50E-14,-0.51524,-0.00172
2019/4/19,3270.8,0.518603,0.558074,0.002744
2019/4/22,3215.04,0.307838,0.369732,-0.00747
2019/4/23,3198.59,0.640071,-0.47249,-0.00223
2019/4/24,3201.61,0.027532,0.647644,0.00041
2019/4/25,3123.83,0.098138,-0.0818,-0.01068
2019/4/26,3086.4,0.566761,-0.48417,-0.00524
2019/4/29,3062.5,1.73E-18,0.274167,-0.00338
2019/4/30,3078.34,5.90E-14,0.637694,0.00224
2019/5/6,2906.46,0.938376,-0.82599,-0.02495
2019/5/7,2926.39,0.165785,-1.01675,0.002968
2019/5/8,2893.76,0.791137,-0.29569,-0.00487
2019/5/9,2850.95,1.939976,-0.90917,-0.00647
2019/5/10,2939.21,1.626795,1.21934,0.013241
2019/5/13,2903.71,0.383494,0.04548,-0.00528
2019/5/14,2883.61,1.012825,-0.34409,-0.00302
2019/5/15,2938.68,0.280529,0.126226,0.008216
2019/5/16,2955.71,0.700599,-0.68996,0.00251
2019/5/17,2882.3,0.876969,-0.48927,-0.01092
