,day,closing,alpha,f,yield,datetime
24,2019/2/12,2671.89,1.858528,-1.17185,0.002934,2019-02-12
25,2019/2/13,2721.07,0.5353439999999999,-0.8691200000000001,0.007921,2019-02-13
26,2019/2/14,2719.7,1.5389709999999999,-1.17541,-0.00022,2019-02-14
27,2019/2/15,2682.39,1.1782190000000001,-0.21293,-0.006,2019-02-15
28,2019/2/18,2754.36,1.581706,-0.6613399999999999,0.011498999999999999,2019-02-18
29,2019/2/19,2755.65,0.056729999999999996,-0.053279999999999994,0.00020299999999999997,2019-02-19
30,2019/2/20,2761.22,0.059183000000000006,0.595544,0.000877,2019-02-20
31,2019/2/22,2804.23,1e-10,-0.16521,0.006712999999999999,2019-02-22
32,2019/2/25,2961.28,0.49638000000000004,-1.12933,0.023666,2019-02-25
33,2019/2/27,2953.82,0.451396,-0.063,-0.0011,2019-02-27
34,2019/2/28,2940.95,1.064147,-0.78481,-0.0019,2019-02-28
35,2019/3/1,2994.01,0.23137,0.380198,0.0077659999999999995,2019-03-01
36,2019/3/4,3027.58,0.666425,-1.1540000000000001,0.004842,2019-03-04
37,2019/3/5,3054.25,2.8e-11,-0.3205,0.0038090000000000003,2019-03-05
38,2019/3/6,3102.1,0.562341,0.663929,0.006751000000000001,2019-03-06
39,2019/3/7,3106.42,0.28336500000000003,-0.18842,0.000604,2019-03-07
40,2019/3/8,2969.86,0.08955199999999999,-0.009000000000000001,-0.01952,2019-03-08
41,2019/3/11,3026.99,1.93e-11,0.675909,0.008275,2019-03-11
42,2019/3/12,3060.31,0.47840699999999997,-0.02094,0.0047539999999999995,2019-03-12
43,2019/3/13,3026.95,0.717431,-1.13935,-0.00476,2019-03-13
44,2019/3/14,2990.69,0.553041,-0.4487,-0.005229999999999999,2019-03-14
45,2019/3/15,3021.75,0.197534,-0.44103000000000003,0.004487,2019-03-15
46,2019/3/18,3096.42,1.140045,-0.25708000000000003,0.010601000000000001,2019-03-18
47,2019/3/19,3090.98,3.47e-18,0.013002000000000001,-0.0007599999999999999,2019-03-19
48,2019/3/20,3090.64,0.031474,-0.00993,-4.8e-05,2019-03-20
49,2019/3/21,3101.46,1.93e-16,-0.20318,0.001518,2019-03-21
50,2019/3/22,3104.15,1.0034020000000001,-1.26271,0.000377,2019-03-22
51,2019/3/25,3043.03,0.394768,-0.011770000000000001,-0.00864,2019-03-25
52,2019/3/26,2997.1,1.03e-10,-0.5748,-0.0066099999999999996,2019-03-26
53,2019/3/27,3022.72,0.923599,-0.58926,0.0036969999999999998,2019-03-27
54,2019/3/28,2994.94,0.45701800000000004,0.634871,-0.0040100000000000005,2019-03-28
55,2019/3/29,3090.76,0.331009,-0.38371,0.013677000000000002,2019-03-29
56,2019/4/1,3170.36,6.679999999999999e-11,0.918266,0.011043,2019-04-01
57,2019/4/2,3176.82,0.325484,0.242662,0.000884,2019-04-02
58,2019/4/3,3216.3,0.500825,-0.9567899999999999,0.005364,2019-04-03
59,2019/4/4,3246.57,1.074732,-0.38054,0.004068,2019-04-04
60,2019/4/8,3244.81,1.0768229999999999,-0.20294,-0.00023999999999999998,2019-04-08
